,es,ls,rx,a8,a6,3series,5series,7series,xj,sclass
153,,,,,,0.0,,-0.25,,0.0
154,,0.0,,0.1,,,,,0.0,
155,,,-0.3,,,-0.5,,,,
156,,,,,,,,,,0.709848484848485
157,,0.0,,0.0,,,,,,
158,-0.15,-0.056249999999999994,0.0,,,,,,,
159,,,,0.0,,,,,,
160,,,,0.0,,,,,,0.25
161,,0.5,,1.35,,,,,,
162,,,,,0.0,,,,,
163,,,0.0,,,,,,,0.8000000000000002
164,,,0.0,,,,,,,
165,,0.0,,,,,,,0.0,0.0
166,,,,,,0.0,,0.0,,
167,,,,,,,,,,0.0
168,,,,0.0,,,,,,0.0
169,,,,-0.20681818181818185,,,,,,
170,,,-0.2916666666666667,0.0,,,,,,
171,,,,,0.2,,,0.0,,0.0
172,,,,0.0,,,,,,0.0
173,,,0.0,,-0.05,0.33636363636363636,0.8,-0.175,,
174,,0.0,,,,,,,,
175,,,0.33636363636363636,,,,,,,
176,,,,0.10714285714285714,,,,,,0.2857142857142857
177,0.0,0.0,,,,-0.25,-0.25,,,-0.25
178,0.0,0.0,,,,-0.25,-0.25,,,-0.25
179,,-0.05,,,,,,,,0.36818181818181817
180,,,,0.375,0.375,,,,,
181,,,0.0,,,,,0.0,,
182,,,,0.0,0.2,,,,,
183,,,,,,,0.0625,0.55,,
184,,,0.8,,,,,,,
185,0.0,0.0,0.0,,,,,,,
186,0.2,0.2,,,,,,,,
187,,,,,,,,,,0.25
188,,,,,,,,,,0.0
189,,,,0.0,,,,,,
190,,,,,0.0,0.0,,,,
191,,0.1,1.0071428571428571,,,0.225,,,,
192,,,,,,,,,,0.8333333333333334
193,,,,,1.9,,-0.15000000000000002,,,
194,,,,0.0,-0.4,,,,,
